doc_id,speech
33,"Mr President, first of all I would like to congratulate the rapporteur, Mrs Miriam Dalli, on the report before us, which sets ambitious targets for reducing CO2 emissions from new vehicles. The Commission's proposal for a directive on the protection of the environment and the environmentally harmful effects of certain substances and preparations is a very good one. The proposal to use technology and measure car emissions in real road conditions to avoid future car industry scandals such as the 'dieselgate' scandal is also particularly positive. It is equally important that appropriate measures be taken in good time to deal with the employment implications. We therefore support the proposal to promote targeted programmes to re-train and upskill workers so that quality and decent jobs are maintained."
34,"I think we can all agree, Mr President, that the transport sector must reduce its CO2 emissions drastically. We signed the Paris climate agreement and I think we should now live up to our promises. The 30% reduction proposed by the Commission is therefore an absolute minimum. And we are prepared as a group to go a step further, to increase that ambition considerably. We need to get the heat under control. We have no choice. But in the meantime, ladies and gentlemen, we must of course drive and look, as they say. In other words, to ensure that the price of cars does not rise too quickly, because that would of course have a negative effect. And as Mr Leinen rightly pointed out, we must ensure that the negative effects on employment are also taken into account and that they are reduced. In short, ladies and gentlemen, a more ambitious reduction would be a very good thing to do, to send the signal to other continents too that we want to put our words into action and also continue to take the lead in tackling the climate problem. I therefore assume that this is feasible, that this is reasonable and that we can reach a good agreement on this in the short term, together with Parliament, the Council and the Commission."
35,"Mr President, I would like to thank you. It is not difficult to live up to or bask in the glamour of climate agreements if you do not intend to live up to them. It is therefore up to the legislative process to prove which parties and politicians are truly ambitious. Today, cars and vans account for up to one fifth of Europe's total carbon dioxide emissions. Climate emissions must be reduced in all sectors of society if we are to meet both the EU and the Paris Agreement climate goals. This is why this framework is one of the most important pieces of EU climate legislation at the moment. Sweden is one of the countries in the world that is most dependent on the automotive industry in the social economy. We actually have the highest number of employees in this industry per capita. We know how important it is to create the right conditions for a viable and greener automotive industry, both today and in the future. That is precisely why the Swedish position on behalf of the Social Democrats, both here and in the Council, has been very ambitious. We are working to send a clear signal to the market that it pays to invest in climate-smart vehicles and to be at the forefront of the development. Anything else - low ambition - is actually a dead end for the automotive industry. It is a matter of putting the European car industry in the backwater of global competition, and I do not want to see it in that position either. We have a good and possible vote tomorrow on a good report, for which I would like to commend rapporteur Miriam Dalli. It's important to vote for ambition tomorrow. It's up to the evidence."
36,"Mr President, Commissioner, it is clear that the European Union has a vital role to play in reducing overall emissions and combating climate change. But we can't be reckless in this fight, throwing a baby out with a bathtub. Our objectives for the automotive industry, which employs 13 million Europeans, must be realistic and achievable. We must not allow this traditional sector to lose its competitiveness in global markets. Let us encourage innovation, let us green-light all new technologies that use non-fossil fuels, but let us not be overly demanding and let us not concentrate our efforts in one direction only. A direction that could make the car manufacturers scapegoats, albeit for the sake of certain noble goals."
37,"Mr President, Mr Commissioner, since it is not the same whether you come from a country which produces cars or not, I shall speak of Spain. Spain is the second largest manufacturer of passenger cars and the first manufacturer of commercial vehicles in Europe and, speaking in figures, it has 17 car factories plus the supplier industry, contributes to the trade balance with 10% of GDP and is the largest exporter with over 34 billion euros. In addition, no other sector has made environmental progress or investments since 2005 as the automotive sector has done. The reduction levels being proposed by the European Commission are already very ambitious. For this reason, it seems disproportionate that even higher reduction levels are being discussed that go well beyond the strategic framework. The Commission has also proposed that the Commission should be able to provide the Commission with a report on the implementation of the new rules on the internal market in electricity. In this respect, the system of incentives for zero- and low-emission vehicles proposed by the Commission is a positive one. However, the introduction of a malus penalty system, as approved by the Committee on the Environment, is neither appropriate nor in accordance with the principle of technological neutrality. I think that the 35% reduction by 2030, as proposed by the EPP, together with a number of flexibilities, is an ambitious and reasonable position."
38,"Mr President, I would like to pay tribute to my good colleague, Ms Miriam Dalli, for her excellent work on this because it is very, very important that Parliament sends an extremely clear signal to the Commission that we want the highest ambition when it comes to CO2 emissions from cars. We have to get real. I listened with interest to the previous speaker saying that ambition has basically reached the point that it needs to. We have to get real about where this transition is going. It is inevitable that zero emissions transport will be the solution to the problems we face, not just on climate but also, of course, on air quality. At the moment our own car manufacturers here in the EU are investing seven times more in China than they are doing in production here when it comes to electric vehicles. If we decide to carry on with business as usual, if we decide to carry on with existing technology, we will effectively destroy our own domestic car industry. Let me be clear, I am talking from a position where my own car industry is coming under existential threat in the form of Brexit, but of course when it comes to legislation on CO2 the targets that we are talking about are not unachievable. Under a 40% reduction, we are looking at 10% penetration for electric vehicles across the EU – 10%. Are we really saying that 9 in 10 cars in 2030 will still be petrol and diesel driven and that this would somehow represent a success? We have to be real. We have to go for the highest ambition because this is good not just for the environment but for consumers and our own industry and jobs."
39,"Mr President, Commissioner, ladies and gentlemen, I would like to thank you for your work. The Paris climate targets have been signed by all countries, and now all countries have to implement them in principle. We know that CO2 emissions from transport have been rising steadily, even though we have had reduction targets. Now, you can see this in the debate, the countries that produce cars are doing more than the countries that don't produce cars. I am not sure that the Council will be able to do so. It's about jobs. That's right, I did. The fact is that many say that diesel needs more jobs than e-mobility. Of course, that's what the competition with China is all about. We don't want to lose jobs because the cars are now made in China. We have an alternative energy infrastructure under construction. Way too slow from my point of view. If we could do this faster, we would have the kind of technology neutrality we want, much stronger and much more likely to be on the streets. I'm against the painting system, I don't think it's a good thing. Basically, it should be said that since we have realized that even the targets we have are useless, if more and more cars are coming, it would be best to have a strict emissions trading for the whole sector. Unfortunately, that's not up for debate, but it might help us."
40,"Mr. Chairman, please! I think there's a word that's been going around in this debate that's been unspoken, and that's ""trust"". Trusting us as MPs, but also as customers, to industry. I think the Dieselgate thing is still going strong around here. We need to take care of the environment and the climate, and create incentives for the production and use of low and zero-emission cars. I believe that environmental objectives can also be reconciled with the pursuit of jobs and economic growth. This is not just the case for manufacturers, but for the whole automotive sector in general, of which a large proportion are small and medium-sized enterprises, and these too should not be forgotten. The question is whether the proposed reduction target of 35-40% will allow such synergies to be maintained. I don't think that's the most important thing. What matters is that we want to do it. The most effective solutions are those that are widely accepted not so much by producers but, above all, by consumers, also because of the size of their portfolios. A reduction rate that is too high can raise that price too rigorously, and as a consequence, in countries where incomes are lower, it can even temporarily increase CO2 emissions because there is no money to buy new, relatively more expensive cars. I think we can all agree that the most energy efficient cars are electric cars. But on the other hand, let's not say that other technologies are worse. Hydrogen, biogas - I think especially in the next generation - second, third and fourth - we should accept that too."
41,"Mr President, I would like to thank you. Today the Danish government has proposed that we in Denmark completely stop selling petrol and diesel cars by 2030. Look at that ambition! So as I listen to the debate here tonight, I do think it is regrettable that there are some who think that a 45% reduction target for CO2 emissions by 2030 is too ambitious. We need to ensure that we comply with the Paris Agreement on climate change, and we cannot do that without the transport sector contributing. We have to be ambitious. And we also have to be ambitious, because if we don't set the standard for our own car industry, we're going to be overtaken by industries from other parts of the world. The most ambitious thing is to make demands. It is ambitious to demand a 45% reduction. I fully support the position of the Committee on the Environment on this matter."
42,"Mr President, as CDA, we want CO2 emissions from passenger cars and vans to be drastically reduced by 2030. All sectors should contribute to the objectives of the Paris Agreement. The sacred cow, the passenger car, must also contribute to achieving these climate goals, just as this house also requires great sacrifices from agriculture, the ordinary cow. Climate innovation will create additional opportunities and jobs for the automotive sector and other high-tech companies in Europe. Economic growth and sensible, ambitious climate goals just go hand in hand. More ambition, combined with the closing of loopholes in legislation, will lead to strengthening our European automotive industry. More ambition will create more jobs for the European economy, both in car manufacturers and in the innovative companies in the field of electric cars and hydrogen production. More ambition also means less dependence on oil dictatorships and cleaner air in cities. European manufacturers are already investing heavily in electric car production in China. Let's not get left behind. All sectors must contribute: The Commission has already made a number of proposals to this effect. It would not be good if the transport sector in 2030 emits even more than it does now. That is why, together with the whole CDA Group, I will of course vote tomorrow in favour of my 40% amendment in the ENVI Committee, which we tabled together with Peter Liese and Karl-Heinz Florenz."
43,"Mr President, ladies and gentlemen, Europe is moving towards a new model of development, a low-carbon economy. That's the challenge, while today the transport sector is still 94% dependent on oil and is responsible for over 25% of greenhouse gas emissions. The aim of this regulation is to have cars on the road that pollute less and consume less fuel, to the benefit of the health and pockets of European citizens, as well as the environment. But it is not enough to set ambitious new targets for reducing car emissions, it is important to ensure that the paper-based emissions certificate corresponds to the real one. And so I agree with the article in the regulation which proposes the introduction of a test of emissions in real driving conditions on the road, to avoid new scandals like dieselgate. The Commission has also proposed that the whole life cycle of emissions from vehicles be analysed. It is not enough to measure pollutants at the boiling point, at the discharge in the years of operation, but also to take into account the production and disposal phases."
44,"I would like to thank the Commissioner for his reply. More stringent and binding CO2 targets are needed. The Commission proposal, at 30%, sets the course for greater environmental protection. But we should leave the church in the village, that is, keep the car industry in Europe. Two points: Firstly, 45 or even 50% by 2030 is utopian. This will destroy tens of thousands of jobs throughout Europe. And a narrow vote by the European Parliament with these unrealistic targets and no impact assessment weakens us vis-à-vis the Council. A European Parliament which goes into negotiations in this way without having used its own means of impact assessment will not be taken seriously in the trilogue. We have seen this repeatedly. I wonder why the Reds, the Greens and the Greens in this Parliament are not taking up the offer of Parliament's impact assessment. Secondly, the introduction of an electricity quota through the back door is a dangerous self-limitation. Instead of letting the market act, left-wing politics wants to set a technical direction, and again without an impact assessment. The Commission shall assess the compatibility of the aid with the internal market by examining whether the aid is compatible with the internal market. Disposal of waste  Question mark Rare earths  question mark Obviously, these are words that are foreign to many in ALDE, the S&D and the Greens, following the motto: why the market economy, if it can go through the wall with its head? Responsible environmental policy means thinking from the end, analysing the consequences of legislation carefully. Ideology cannot be the compass of politics. So let us work together again on a compromise."
45,"Mr President, ladies and gentlemen, our objectives are clear: 45% less CO2 emissions by 2030, plus 40% of zero-emission or low-impact cars, to meet the Paris targets, to protect our health, to make the European car industry more competitive. We Socialists and Democrats, in this transitional phase of industrial conversion, must ensure that workers and technicians do not pay the bill. The world's automobile industry is undergoing major transformation. Europe cannot stand still, it can and must become the world leader in the production of electric cars, low-emission hybrid cars. Without courage and ambition, Europe will lose the global automotive challenge and we will have more pollution and less employment. With the proposals voted by the Committee on the Environment, we shall have a regulation which brings together development, work and environmental quality."
46,"Members of the House! I represent a country that has always supported the predictable development of emission requirements, but also sees economic factors such as car manufacturers as strategic partners. That's what you're supposed to be up to. As a member of the Environment Committee, I have no doubt that zero and low-emission vehicles are the future, but it is also important to pay attention to international and global developments and not just to our own EU climate goals. The implementation of the Paris Agreement is a priority, but the Union, which is responsible for around 10% of global emissions, is not alone and cannot do it alone. Over-ambitiousness on the part of the EU alone will not in itself lead to 1.5°C. In the US, transport emissions are twice those in the EU, while in some countries around the world, the figure is rising by hundreds of percent. In order to preserve the Union's competitiveness, we need to set targets that are realistically achievable for car manufacturers, but reduce pollution within reasonable limits. The Union automotive industry is currently facing a number of challenges, such as transatlantic trade barriers, digitalisation and decarbonisation. It's not possible. Anyone who knows, anyone who has been around knows that it's impossible for manufacturers to adapt technologically to a 40% emissions reduction target. The reduction target should be set in a way that encourages car manufacturers and does not place additional burdens on them."
47,"Mr President, we must achieve carbon neutrality by 2050 and improve the quality of life of our citizens now. How the European institutions, national governments and the car industry deal with the emissions challenge will be a barometer of their ability to take technological and economic leadership in a sector that our competitors are hard at work to compete with. European industry must be an ally in the energy transition if it is to be globally competitive. It is not wise to set environmental objectives against the competitiveness of industry and its ability to maintain and create sustainable jobs. Indeed, if European industry does not adapt to the new environmental challenges, it may survive in the short term, but it is doomed. By contrast, taking the moment to lead the transition to new industrial models and respond to new mobility systems will ensure its long-term survival and competitiveness, creating wealth, jobs and better environmental conditions. This regulation is a contribution to that end. I congratulate the rapporteur on her excellent work and hope that this will be a major and positive turning point for the European automobile industry."
48,"Mr. President, fighting climate change is not an option. It's a duty. And so reducing emissions in a sector which produces a quarter of the European Union's is also an obligation. And we have to find the right balance between industry, which generates economic activity and employment in countries like Spain, which are very important, and the obligation to reduce emissions. That is the debate we have to produce. And we must invite industry to make the necessary technological changes to maintain a leading position in European production and industry too. Why would you do that? Because we're talking about the future. We're talking about our health. And so making those technological changes is also going to mean maintaining that future and that activity in the medium and long term. So we have to meet Paris and we have to pursue an ambitious reduction in emissions."
49,"Mr President, Commissioner, I have always believed in the need to preserve jobs while ensuring the improvement of the quality of the environment. Because there is no fight against climate change if you fight against industry, behind the back of industry or without industry. There can no longer be room for an industry that does not firmly see that the way forward is a low-emission economy, or rather, a de-fossilised economy. In this sense, there is no hierarchy between the survival of the planet and the creation of jobs. We trust in European industry and society, which is leading a new industrial revolution and transforming the European economy into a low-emission economy. This is already happening. We trust in European society, which is on track to meet the Paris objectives under the leadership of the European Commission. And yes, of course, we must be ambitious, yes, of course! But without jeopardizing any workplace. We don't create them here, the industry does. I'm finished, President. Few of us, I think, are automotive engineers and, in any case, today we are Members of Parliament. Our task as legislators is not to play the role of engineers but to set targets and ensure technological neutrality that gives engineers the freedom to move forward in the technological transition in the most coherent way possible. If we do not do this, we will only be making progress on paper, and we want to make progress in reality, as the Commission proposal does."
50,"Mr President, we’ve just had the latest news from the Trump administration in the USA: a forecast that the climate is going to warm up by four degrees, and the result is ‘we are not going to do anything’. We are going to have the Intergovernmental Panel on Climate Change (IPCC) report within one week. That will tell us how drastically different the world would be with the warming up of two degrees that we have already caught up with, without even talking about the future. If you refer to science, CO2 emissions should be reduced by more than 50% in new cars, maybe 70%. We should make a drastic change to electric cars and new ways of moving. So this is a wake-up call. How seriously we are taking climate change is an issue. It is not adequate that we talk about the Paris Agreement. It is not adequate that the Commission is coming up with new plans and commitments for 2030. It is a question of what we are doing here in Parliament and the Council right now and in different pieces of legislation. This is one of the key pieces of legislation, so I appeal for us to go for at least a 45% reduction in CO2 emissions from cars."
51,"I would like to thank the Commissioner for his reply. No one is questioning the need for action on climate change. I must admit, however, that Mrs Dalli's report gives me quite a tummy ache. Luxembourg is one of the two Member States with the highest reduction targets to be achieved by 2030 in the non-ETS sectors. We're talking about minus 40 percent of that. Passive houses are already standard in Luxembourg. We are also at the forefront of agri-environmental measures in agriculture. The transport sector accounts for 64% of non-ETS emissions. I am therefore not able to avoid calling for a more ambitious target than the 30% set by the Commission. What makes sense in the short term may not be right in the long term. Some in this House are calling for a reduction target of minus 50% or more. The only way to achieve this goal would be to switch to electric mobility. But where does this electricity come from? 25% of our electricity comes from coal, 24% from nuclear energy, and that certainly explains why the electricity giants who rely on nuclear power are trying to influence us massively. We do not want to roll out a new red carpet here to give coal and nuclear power new possibilities. We want to have a technology-neutral discussion here. Like my colleagues Belet, Leinen and Pieper, I too call for alternative hybrid vehicles to be given a chance. There's a kind of myopia that can be corrected with glasses. Let 's get this wrong ... (The President cut the speaker off)"
52,"Colleagues, I need to ask you all to respect your time slots. We are running behind and will have to catch up, and we also have the catch—the—eye procedure, so please respect the time that has been allocated to you."
53,"I would like to thank the Commissioner for his reply. Thank you very much for the word, I will save a little time. I would like to thank our shadow rapporteur, Mr Gieseke, for his sharp teeth on Mrs Dalli's report, which is not the usual thing to do. I think the Commission proposal was already committed and well-founded. The unrealistic figures that have been thrown into the debate are, as I have said, unrealistic. The biggest problem, in my view, is that we have not taken the citizens along. We cannot explain why we are discussing 30%, 40% 50% and even 80% in this House. I think we need to take a different approach. I do not think that electric mobility is the philosopher's stone, or the only philosopher's stone. I think we have to think very hard about other forms of propulsion, fuel cells, synthetic fuels. Just as a small example: electric mobility 0.7% of cars sold, SUV over 23%. So where is the will of the citizen? I think that's where we need to look if we're going to really work together to achieve this important climate goal."
54,"Mr President, there has been a great deal of debate in the last few weeks about how much we can demand of the car industry. It is clear that the car industry must do its part to reduce emissions. Europe must become a leader in clean transport. But it must be remembered that the automobile industry cannot solve this problem alone, especially when we are talking about things that will be in force for decades. We need to be able to cut traffic emissions much faster. At present, more than a quarter of Europe's emissions come from transport. We know that traffic volumes are forecast to only increase, and transport emissions are the only sector where emissions have also increased in Europe over the decades. So the challenge is very big, and it requires much more than just solutions from the automotive industry. The fastest way to cut emissions is to use renewable sustainable fuels in cars that already exist, because it takes decades for the fleet to renew. What I do not like about this proposal is that it is so strongly driven by electric cars. The Commission has already taken a number of measures to ensure that the European Union's energy policy is not undermined by the fact that the European Union is not able to meet the needs of the world economy. We know that there are many environmental problems in the mining of battery metals and battery production that also need to be solved. So the fact that we want to cut emissions in Europe and globally is very important, but it requires a lot of action. This is only part of it, but it's important."
55,"Mr President, I would first like to thank the rapporteur, Mrs Miriam Dalli, for her excellent work. In Paris, we committed to cutting by 2030 40% of total greenhouse gas emissions compared to 1990. By 2015, all sectors had reduced their emissions except the transport sector, which, on the contrary, increased them by 20%. In 2015, road transport alone accounted for 72% of emissions, with 44% coming from light vehicles. The decarbonisation of transport is urgent, and let us not forget that self-regulation has been ineffective and state control has been insufficient for a sector where emissions results have even been forged. Moreover, persistent investment in combustion engines has made the European automotive economy less competitive in an international context of electrification of the sector. The industry needs a clear signal that it cannot do business as usual. To meet these targets, more stringent measures are needed, such as the promotion of zero-emission vehicles over fossil fuel vehicles, real-world emission measurement and awareness raising for responsible consumption, as well as incentives for shared mobility in cities."
56,"Mr President, I had the privilege of representing Parliament, along with others, at COP21, and I remember that prior to that we were drafting a resolution, and finally we came to agreement with Peter Liese here, Karl-Heinz Florenz and Jerzy Buzek to add once sentence. We were in favour of increased ambition, provided other countries did the same, and we got the agreement in Paris – a global problem going to be solved globally. That brings me to the point made by my colleague, Peter. I’m all in favour of pushing the car industry, and indeed every other industry, as far as we can in terms of reducing emissions, but not to push them over the edge. In other words, we do not want job losses, we do not want carbon leakage, but at the same time, we do not want to listen to them either saying they can’t do anything. So we have a very important role here to try and find what is the maximum attainable in the interests of the environment and in the interests of jobs."
57,"Mr President, ladies and gentlemen, I would like to thank you for your report. I am very much in favour of setting realistic targets and setting what emissions are achievable for cars and small commercial vehicles. We have 250 million registered and running cars in the European Union. If we think about it, if they're going 40,000 kilometers, they're emitting 100 grams of CO2 per kilometer, and if we do the math, we're going to get to a billion tons of CO2. We want to reduce 300 or 350 million tonnes of CO2 over a period of 12 years. It's only for new cars for now. But the fleet will have to renew itself within those 12 years. That means we need new combustion engines that use three and a half or four liters of fossil fuels. We really need new dimensions in electric mobility too. We must achieve that. I don't want to stand at the end and say, ""Yes, unfortunately, this was all too ambitious and it didn't work out"". Then we will... (The President cut the speaker off)"
58,"Mr President, ladies and gentlemen, the transport sector is the only one which continues to increase its greenhouse gas emissions. According to WHO, air pollution kills 7 million people every year, and 9 out of 10 people in the world breathe air with very high levels of pollutants. The black shirt of Europe is Italy, where smog kills 91,000 people a year. The new regulation to reduce CO2 emissions from light vehicles addresses the environmental and industrial issue, to reduce pollution through the transition to electric transport modes and to ensure the competitiveness of the European automotive industry. I agree with Mrs Dalli, whom I thank, we must be ambitious. We need a common strategic framework for sustainable vehicles, infrastructure, electricity grids, battery production, supply and recycling where economic incentives and employment incentives go hand in hand at national, Union, regional and local level."
59,"Mr President, I think that the debate which has been going on for too long has highlighted the main problems we are observing. There are the ambitious targets, the 2030 climate targets, with commitments in action, with efforts to reduce emissions. There is of course an opportunity to promote the green economy, to have environmental protection and investment at the same time. The transport sector, as has been said, is responsible for at least 20% of carbon dioxide emissions. Serious measures must be taken. The solution is electric cars, although there is still a lot of investment to be made, particularly in batteries. This does not mean that all problems will be solved. On the other hand, account must also be taken of the difficulties facing European industry and the fact that it is not possible to replace all lorries. There will be a big cost to smallholders too."
60,"Mr President, the Paris Agreement must not be a mere set of commitments that will never be fulfilled, and we all have a responsibility for this, including the European Union and the biggest polluters. Air pollution is killing millions of people around the world, and Europe is no exception, and we need radical and drastic action. And the automobile industry also contributes a significant share. And I'm convinced that with actions that could be much more ambitious, we can reduce CO2 in the air, but that will also mean restructuring the automotive industry and finding new alternatives to oil, gasoline, including electric vehicles and other forms of energy. And of course, we can't compromise here, because health, of course, is no compromise, and so we have to be very determined and very firm about it. And above all, the fact that we have to protect the consumer here as well and not mislead him, which we do a lot."
61,"Mr President, this is the second Green Paper on this subject, but first I would like to congratulate Mrs Dalli on her excellent report and I would like to mention a few facts because the debate here is very interesting and I think you and the Commissioner will find this information interesting. And speaking of innovation, Europe was the first to invent and manufacture an electric car, and to manufacture batteries for electric cars. Looking back today, we see that we are actually lagging behind our global competitors, and we will be lagging even further behind if the money that we have invested so far in innovation through Horizon 2020, what we will invest through Horizon Europe, is also planned to be invested through other European funds. How many billions has the European Union automotive industry invested so far in innovation in electric cars, and we don't see that as a result on our roads? If we talk about the alternative fuels directive, only eight Member States have implemented the policy that should have been under the directive that it prescribes."
62,"Mr President, the management of innovation and the pace of large-scale application of new technologies must be guided by the defence of the public interest, the improvement of the quality of life of the population and the preservation of the environment. So too with car emissions. We are advocating in this, as in other areas, a regulatory approach as opposed to market approaches, which have shown themselves to be unable to protect the interests I have mentioned. Public policies must frame this approach with strategies to defend and promote employment, particularly in industrial sectors, by combating existing imbalances and asymmetries and the predatory logic of multinationals. But it 's important not to forget something very important: The Commission has already taken a number of initiatives to improve the quality of public transport, and I am sure that the Commission will be able to support the Commission's proposals."
63,"Mr President, the construction of new passenger and light commercial vehicles with high-spec engines, in order to limit carbon dioxide emissions and protect the environment, is achievable. The Commission has already taken a number of measures to ensure that the Community's energy policy is not affected by the consequences of the crisis. An intermediate solution would be to produce high-quality fuels that would limit air pollutants. The dream of many, the electric vehicle, is currently subject to many constraints, e.g. the availability of electricity, batteries, charging points and so on. We must concentrate on ensuring that production costs are not passed on to the consumer, that jobs are not lost and that European industries are not bought by Chinese ones."
64,"Member of the Commission. – Mr President, I have listened carefully to the debate today and I have heard a broad range of positions, in particular on the level of ambition, and that is also the situation in the debates that have taken place in the Council. The transition to zero-emission mobility needs to happen during the next decades. However, this transition should happen at the right pace to allow sufficient time for the re-skilling of workers in the supply chain. And a smooth transition is particularly important for the many small and medium-sized enterprises operating in this sector, which are the backbone of the economy in many regions. Some Members addressed the issue of the introduction of a malus in the zero and low—emission vehicles incentive mechanism, in particular Mr Liese and Ms Ayuso. The Commission proposal contains a new mechanism incentivising manufacturers to put more zero and low—emission vehicles on the European Union market. It leaves manufacturers the choice as to how they compose their fleet but provides this benefit for those choosing to go for zero and low—emission vehicles. Adding a malus would mean that manufacturers meeting their CO2 targets could actually be penalised if they do not meet the benchmark, and analyses also show that the economic impacts depend on the combination of the target level and a possible bonus/malus benchmark for zero-emission or low-emission vehicles. With the increased penetration of zero and low—emission vehicles, driven by the high bonus/malus benchmark level, less effort will be needed in improving the efficiency of conventional vehicles to meet the fleet-wide CO2 targets. And this results in a projected shift towards larger segments for conventional vehicles, leading to an increase in the net economic costs for consumers. Some Members commented on the non-paper on assessment of higher ambition levels, produced by the Commission, and my friend Bas Eickhout actually said it was a political document. Well, I would point out that the Commission services have not manipulated any calculations and are not misleading the co—legislator: the non—paper clearly and objectively presents the results of recent analytical work and it aims to inform the ongoing decision-making process on the impact of options not considered in the impact assessments. The non—paper’s analysis is therefore only factual. It is fully transparent and based on the same methodological approach: as in the impact assessments, we provided all the necessary underlying background. In particular, the non—paper confirms that the only impact on jobs up to 2030 is positive for more ambitious scenarios. However, it also points to the fact that the transition towards zero-emission mobility will lead to differences between sectors. While overall employment increases with the level of ambition, existing jobs in the automotive sector related to the combustion engine risk being lost if the transition is too fast. The non-paper also confirms the key role of plug-in hybrid electric vehicles in this respect, allowing a transition to zero-emission vehicles while limiting automotive job impacts. In conclusion, I want to thank all of you for the very interesting debate tonight and I am looking forward to tomorrow’s vote. I am also confident that the Council and the leadership of the Austrian Presidency will be able to reach an agreement on a general approach at the Environment Council next week and that a final positive political agreement among the co—legislators can be found before the end of the year."
65,"Thank you Commissioner. We are all looking forward to the vote tomorrow. Madam rapporteur, Ms Dalli, your closing remarks."
66,"Rapporteur. – Mr President, there is one statement by a Member from the EPP that will remain imprinted in my mind tonight, saying that we need to take the venom out of the Dalli report. Seriously, is this the level of the debate about such important legislation? What I heard tonight is not necessarily always based on fact. To the MEPs who think that by going low on ambition they are doing the industry a favour, I ask you to look at what is going on around you. See what is happening in Japan, see what is happening in China, see what our cities are doing, and see what our governments are doing. Case in point: the Danish Government is saying that it will ban gasoline and diesel cars by 2030. This is what is happening at this point in time, and not all EPP Members necessarily agree with this or are happy with this, but to come here tonight and say that having ambition going to 40% will be devastating really shows how much some people are out of touch. I will refer colleagues to what the chief of a major trade union in Germany said: that 40% is achievable. He said that infrastructure needs to move forward, and that is something we agree upon and that we also addressed in the environment position. We also heard about the push towards one technology over the other. It is not true. If we are speaking about a 40% CO2 reduction, let’s be factual with people. We are talking about a 10% battery electric vehicle market share by 2030. It does not mean that we are going towards battery electric vehicles overnight. It means that there will be a large share of efficient internal combustion engines and a large share of plug-in hybrids, which are labour—intensive and which require more employees across the European Union. So yes, I urge colleagues to be united, at least on a 20% CO2 reduction by 2025 and a 40% CO2 reduction by 2030."
67,"The debate is closed. The vote will take place on Wednesday, 3 October 2018. Written statements (Rule 162)"
68,"in writing.  The car manufacturers' emissions scandals of recent years have significantly weakened consumer confidence, which is currently difficult to regain. The greening of the automotive industry is a key means of meeting existing environmental objectives, given its importance in European countries. This is linked to the development of a low-carbon economy and further increasing the competitiveness of European carmakers. There is also a need to promote efficient development of battery and fuel cell technologies. This is part of a comprehensive approach where, in addition to reducing emissions, it is essential to focus on reducing the use of heavy metals, especially lead. With a stronger focus on the use of electric cars or other alternative fuels, a gradual shift from dependence on imported oil towards domestically produced electricity is expected in the future. This should help in further economic growth and increase employment in the electricity generation and supply sector."
69,"in writing.  Cars are the final link in the chain of energy flow from primary to usable kinetic energy. Therefore, their harmful environmental impact should be measured by a comprehensive efficiency indicator, calculated as the ratio of the efficiency of each link in the chain. The comprehensive efficiency estimate for combustion engine vehicles is the production of fuel in refineries (petrol or oil) from oil with an energy efficiency of e.g. on average around 50%, and then used in vehicles with an efficiency for mechanical propulsion of around 20%, giving a final efficiency of around 10%. For the propulsion of vehicles with electric motors, we can start from about 40% of the energy efficiency of the generation of electricity and about 80% of the energy efficiency of its use in the energy chain, which gives an estimated final vehicle efficiency of about 30%. As you can see, the energy efficiency of 'electric vehicles' would be about three times higher than the energy efficiency of combustion vehicles. Assuming that 1% efficiency increase is about a 2% reduction in CO2 emissions, we see that a complete switch to electric mobility would result in a 40% reduction in CO2 emissions. However, the transition to electric mobility is fraught with challenges. The available capacity of the power plant should be significantly increased and new power plants built. There will still be problems with the electricity storage. But I think in the near future, hybrids will be the basis for new market solutions."
70,"in writing.  It is a well-known fact that greenhouse gas emissions in the transport sector in the Union continue to show an increasing trend. At the same time, reducing emissions and promoting the deployment of clean vehicles at Union level is essential for the European Union to meet its commitments under the Paris Agreement on climate change. At the same time, I believe that the decarbonisation of the economy must be achieved in a way that ensures the continued competitiveness of the European automotive industry. Moreover, a shift away from dependence on oil imports may not only lead to a switch to electricity but also to an increase in domestic employment. The proposal to reduce CO2 emissions from new passenger cars and new light commercial vehicles sets emissions targets that are stricter than the current ones, with a 40% reduction in CO2 emissions from new cars by 2030 and a 20% increase in the market share of zero- and low-emission vehicles for new and small cars by 2025 and 35% by 2030 for car manufacturers. In light of what has been said, I fully support this ambitious proposal."
71,"in writing.  It is paradoxical to argue about whether the industry should reduce emissions from new cars by 30, 40 or 45% from 2021, when the reality is that in China there are almost 500 electric car manufacturers and 9 of them each produce more than 7,000 vehicles a week that Tesla manufactures, or when the Government of India has on its agenda 100% new electric vehicles by 2030, which will save it more than 60 billion US dollars in oil imports and 1,200,000 fewer deaths from pollution, and that without counting the huge health costs that it entails. For our part, in Europe we are discussing absurd percentages without any ambition, while industry is again caught in flagrante delicto manipulating emissions, but this time upwards so that, as if by magic, emissions would be reduced beyond 2021 after the imposition of the regulation we are discussing today. The European car industry has a blindfold, or rather a curtain of polluting fumes, which does not let it see that other economies are betting on the electric vehicle, at the risk of making them disappear or, rather, relocate."
